Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Turnover,vwap
2023-08-28,304.44711,307.03274,302.09653,306.70366,306.70366,2272933,6110,693753757,305.2239
2023-08-25,300.68618,303.78894,300.31008,301.53239,301.53239,2370938,6134,715833142,301.9198
2023-08-24,295.79697,300.7802,294.66869,299.65192,299.65192,2256582,6541,674011029,298.6866
2023-08-23,307.07975,307.64389,296.87824,299.27583,299.27583,3757671,10311,1130665046,300.8951
2023-08-22,307.22079,308.67815,304.11802,308.067,308.067,2130071,5362,654501518,307.2674
2023-08-21,306.13952,309.80643,305.66941,307.31481,307.31481,3154322,8038,971208010,307.8975
2023-08-18,303.83595,304.07101,300.21606,302.56664,302.56664,2815323,4979,850905548,302.2408
2023-08-17,298.7587,305.01124,298.24157,304.35308,304.35308,2373074,7330,718533920,302.7861
2023-08-16,303.08377,303.88297,298.42962,300.87422,300.87422,3002918,7947,903269610,300.7972
2023-08-15,303.08377,304.49412,301.06227,301.86147,301.86147,2846423,9128,860349679,302.2564
2023-08-14,301.81446,303.88297,300.12204,300.59215,300.59215,2552273,8546,769157752,301.3618
2023-08-11,306.60964,313.00322,305.76343,313.00322,313.00322,3668676,9521,1139176665,310.5143
2023-08-10,311.63988,313.19126,307.36182,307.97298,307.97298,3860142,11740,1195939941,309.8176
2023-08-09,297.1133,316.52909,297.01927,314.50759,314.50759,7747107,20276,2398686266,309.6235
2023-08-08,293.72846,294.2926,289.40339,294.05754,294.05754,3216757,8072,941623725,292.7245
2023-08-07,297.1133,298.61767,293.54041,293.72846,293.72846,3201218,7798,946325621,295.6142
2023-08-04,295.04479,298.14755,293.68145,298.00652,298.00652,3115142,7270,924837687,296.8846
2023-08-03,287.71098,294.05754,285.54844,291.89501,291.89501,2821099,7986,819659055,290.5459
2023-08-02,291.4719,292.78823,288.13408,288.79224,288.79224,2577567,7085,748305432,290.3146
2023-08-01,290.01454,294.19858,289.77949,291.37788,291.37788,2963828,8057,864569180,291.7069
2023-07-31,288.69822,292.97628,288.6042,289.96753,289.96753,4024945,9635,1169048670,290.4508
2023-07-28,289.0273,290.43765,285.17235,287.61695,287.61695,3113959,8111,894710939,287.3226
2023-07-27,289.0273,292.60018,288.93328,289.87351,289.87351,3077004,7786,893766494,290.4664
2023-07-26,293.35237,295.65594,286.95879,289.8265,289.8265,4038722,12129,1172068118,290.2076
2023-07-25,297.44238,298.19456,294.7157,297.72445,297.72445,2054422,4510,610498653,297.1631
2023-07-24,291.80099,297.81847,288.51017,296.97226,296.97226,1873532,6604,551880208,294.5667
2023-07-21,291.75397,292.60018,289.0273,291.28386,291.28386,1921513,5877,559567976,291.2122
2023-07-20,284.1381,288.6042,283.43292,288.08707,288.08707,2292063,6881,657623609,286.9134
2023-07-19,280.33016,283.762,277.50946,283.762,283.762,2509674,5763,706854346,281.6518
2023-07-18,277.18038,282.91579,276.99233,281.92855,281.92855,1784110,4866,501180073,280.9131
2023-07-17,277.18038,282.35165,274.78279,277.2744,277.2744,2239123,7505,621189557,277.4254
2023-07-14,284.5612,285.40741,278.73176,278.73176,278.73176,2545648,8829,716520730,281.4689
2023-07-13,289.54443,289.68546,283.3389,285.21936,285.21936,3271960,6858,934959106,285.7489
2023-07-12,290.01454,292.17708,288.27512,289.59144,289.59144,2445233,6887,709013320,289.9573
2023-07-11,286.91178,288.55719,285.73649,288.36914,288.36914,2185413,5506,628908980,287.7757
2023-07-10,287.85201,289.40339,285.73649,287.56994,287.56994,1957612,4992,563274948,287.7356
2023-07-07,286.30063,288.04006,283.762,286.67672,286.67672,2796233,6905,801298667,286.5636
2023-07-06,284.93729,291.98903,284.93729,287.3819,287.3819,3243692,7921,935998213,288.5595
2023-07-05,297.16031,299.18181,293.35237,293.35237,293.35237,2866531,7072,846541404,295.3191
2023-07-04,296.26709,298.71169,295.84398,297.86548,297.86548,2112788,5081,628449908,297.4505
2023-07-03,295.70295,301.43836,295.70295,296.92525,296.92525,3509162,9254,1047431087,298.4846
2023-06-30,294.90375,295.79697,292.36512,293.44639,293.44639,4069276,7314,1195625166,293.8176
2023-06-29,292.41214,294.24559,289.92052,293.39938,293.39938,2689735,6648,786934361,292.5695
2023-06-28,290.34363,293.30536,289.45041,290.01454,290.01454,2720453,7040,790869019,290.7122
2023-06-27,293.8695,294.99777,288.36914,289.87351,289.87351,2991733,7116,869479041,290.6272
2023-06-26,291.89501,294.05754,285.59545,292.31811,292.31811,2589603,7167,754079103,291.1948
2023-06-23,290.6257,293.16432,287.71098,290.10857,290.10857,4351612,11871,1263172001,290.2768
2023-06-22,297.16031,299.5579,292.13007,293.58743,293.58743,4042958,10739,1193204001,295.1314
2023-06-21,302.0025,304.25906,299.08778,303.31883,303.31883,3454884,8728,1044901978,302.4419
2023-06-20,299.46388,303.74193,299.46388,302.3786,302.3786,3156537,7420,953933157,302.2088
2023-06-19,298.38261,301.10928,296.50215,299.88698,299.88698,2091320,6141,624963384,298.8368
2023-06-16,301.95549,304.49412,300.45112,301.48537,301.48537,5527710,9869,1668262414,301.7999
2023-06-15,299.46388,308.63114,299.13479,302.56664,302.56664,4260309,11410,1291405773,303.1249
2023-06-14,301.25032,303.41285,300.07503,300.16905,300.16905,4807326,10484,1447265413,301.0541
2023-06-13,295.13881,306.18653,294.48065,305.52837,305.52837,5947286,11561,1799332439,302.5468
2023-06-12,292.55317,296.3141,290.90777,293.96352,293.96352,3888025,9810,1141404018,293.5691
2023-06-09,289.59144,295.60893,288.32213,294.90375,294.90375,3588171,9108,1049751279,292.5589
2023-06-08,289.54443,290.67271,287.52293,289.16834,289.16834,3301138,12315,955215789,289.3595
2023-06-07,279.90705,286.53569,278.8728,286.39465,286.39465,3599991,8073,1025077586,284.7444
2023-06-06,281.12935,281.50545,275.77003,279.10785,279.10785,3603926,9004,1002601087,278.1969
2023-06-05,281.12935,289.8265,280.42418,282.5397,282.5397,4063436,10895,1152939263,283.735
2023-06-02,270.92784,277.2744,270.3637,277.13337,277.13337,3186688,8471,877378012,275.326
2023-06-01,266.88484,268.90634,265.14541,268.15415,268.15415,2795965,8906,748088016,267.5598
2023-05-31,269.04737,272.29117,263.54702,266.79082,266.79082,6931024,13620,1852185696,267.2311
2023-05-30,277.36843,277.97958,270.3637,272.15014,272.15014,3410632,10504,933452449,273.6889
2023-05-29,0,0,0,0,277.2744,0,0,0,0
2023-05-26,279.24889,280.33016,276.33417,277.2744,277.2744,3262490,8466,906300295,277.794
2023-05-25,288.2281,290.6257,277.36843,278.63774,278.63774,4143871,12311,1172468923,282.9405
2023-05-24,287.805,292.08306,286.62971,288.69822,288.69822,4716180,11469,1363962995,289.2092
2023-05-23,282.5397,286.5827,281.3174,285.97155,285.97155,2644732,6755,752642002,284.5815
2023-05-22,281.03533,284.79626,280.47119,281.92855,281.92855,2355203,6120,665329256,282.4933
2023-05-19,286.81776,286.91178,283.10384,283.762,283.762,3116901,9148,886368458,284.3749
2023-05-18,0,0,0,0,281.12935,0,0,0,0
2023-05-17,0,0,0,0,281.12935,0,0,0,0
2023-05-16,282.39867,284.46718,280.33016,281.12935,281.12935,3195099,10058,900311107,281.7787
2023-05-15,280.18912,284.46718,279.43694,282.91579,282.91579,2823483,9712,798687484,282.8731
2023-05-12,276.75727,284.09108,276.33417,284.09108,284.09108,3170155,9373,895328913,282.4243
2023-05-11,282.06958,284.70223,277.03934,278.12061,278.12061,3173222,10078,887245725,279.604
2023-05-10,292.83524,294.85674,289.59144,290.06156,290.06156,2541031,9876,740000444,291.2205
2023-05-09,292.45915,292.83524,288.93328,290.86075,290.86075,2749867,10000,799122769,290.6041
2023-05-08,295.46789,299.08778,294.85674,295.74996,295.74996,2904871,10455,862246458,296.8277
2023-05-05,282.82177,293.58743,282.68074,291.94202,291.94202,4212547,13191,1223414872,290.4216
2023-05-04,283.00982,287.99305,278.26165,278.44969,278.44969,4424762,15039,1245638744,281.5154
2023-05-03,281.64648,281.64648,270.55174,275.86405,275.86405,4273825,12675,1175275061,274.9937
2023-05-02,287.52293,289.26236,279.24889,279.34291,279.34291,2974099,8860,840257775,282.5251
2023-04-28,280.42418,286.77074,278.16762,286.77074,286.77074,2720103,8047,772024166,283.8216
2023-04-27,282.02257,283.80901,276.99233,279.48395,279.48395,2449885,8806,685630224,279.8621
2023-04-26,285.64247,289.49742,282.21062,282.49269,282.49269,3709592,12277,1058945652,285.4615
2023-04-25,287.56994,288.98029,283.85603,283.85603,283.85603,2425520,7083,692030216,285.312
2023-04-24,280.33016,288.13408,279.95406,287.19385,287.19385,1664477,5306,474585142,285.1256
2023-04-21,284.60821,286.30063,283.15085,284.60821,284.60821,2475216,6890,704339677,284.5567
2023-04-20,281.92855,284.1381,280.42418,283.00982,283.00982,2087894,6328,590266458,282.709
2023-04-19,285.45442,286.44166,281.92855,282.16361,282.16361,2031728,7408,575865381,283.4362
2023-04-18,289.73248,290.06156,284.9843,286.72373,286.72373,2498486,7942,716780927,286.886
